APR_MDC_key,week_number,day_number,hospitalizations
01,12,2,20.0
01,12,3,18.5
01,12,4,12.0
01,12,5,13.5
01,12,6,7.0
01,12,7,7.0
01,13,1,19.0
01,13,2,17.0
01,13,3,19.5
01,13,4,14.5
01,13,5,13.5
01,13,6,7.0
01,13,7,9.0
01,14,1,19.0
01,14,2,21.5
01,14,3,16.5
01,14,4,11.0
01,14,5,12.0
01,14,6,5.5
01,14,7,7.5
01,15,1,14.5
01,15,2,20.5
01,15,3,15.0
01,15,4,12.5
01,15,5,10.0
01,15,6,6.0
01,15,7,9.0
01,16,1,17.0
01,16,2,19.0
01,16,3,15.0
01,16,4,13.0
01,16,5,14.5
01,16,6,5.5
01,16,7,7.0
01,17,1,16.0
01,17,2,19.5
01,17,3,14.5
01,17,4,14.0
01,17,5,12.0
01,17,6,7.0
01,17,7,8.5
01,18,1,14.5
01,18,2,19.0
01,18,3,18.5
01,18,4,11.5
01,18,5,11.0
01,18,6,4.0
01,18,7,8.0
01,19,1,16.0
01,19,2,22.0
01,19,3,18.0
01,19,4,11.0
01,19,5,10.5
01,19,6,4.5
01,19,7,9.5
01,20,1,14.5
01,20,2,18.0
01,20,3,15.5
01,20,4,12.5
01,20,5,13.0
01,20,6,4.0
01,20,7,6.0
01,21,1,13.5
01,21,2,20.0
01,21,3,23.0
01,21,4,15.0
01,21,5,11.5
01,21,6,5.0
01,21,7,6.0
01,22,1,15.5
01,22,2,17.5
01,22,3,16.0
01,22,4,12.5
01,22,5,10.0
01,22,6,4.5
01,22,7,7.5
01,23,1,18.5
01,23,2,21.0
01,23,3,19.5
01,23,4,14.5
01,23,5,10.5
01,23,6,4.5
01,23,7,8.5
01,24,1,15.0
01,24,2,20.0
01,24,3,15.5
01,24,4,12.5
01,24,5,10.0
01,24,6,6.5
01,24,7,7.0
01,25,1,19.5
01,25,2,17.0
01,25,3,17.0
01,25,4,13.0
01,25,5,12.0
01,25,6,5.5
01,25,7,6.5
01,26,1,19.5
01,26,2,18.0
01,26,3,17.0
01,26,4,12.5
01,26,5,14.0
01,26,6,6.0
01,26,7,8.0
01,27,1,20.5
01,27,2,21.0
01,27,3,19.5
01,27,4,13.5
01,27,5,16.5
01,27,6,5.5
01,27,7,9.5
01,28,1,21.5
01,28,2,18.5
01,28,3,18.0
01,28,4,15.5
01,28,5,16.0
01,28,6,6.5
01,28,7,7.0
01,29,1,17.0
01,29,2,19.5
01,29,3,11.5
01,29,4,11.0
01,29,5,12.0
01,29,6,4.5
01,29,7,4.0
01,30,1,16.0
01,30,2,12.0
01,30,3,12.5
01,30,4,16.0
01,30,5,13.5
01,30,6,5.5
01,30,7,7.0
01,31,1,12.5
01,31,2,17.5
01,31,3,16.0
01,31,4,10.0
01,31,5,10.0
01,31,6,4.5
01,31,7,7.5
01,32,1,19.5
01,32,2,18.0
01,32,3,15.5
01,32,4,12.5
01,32,5,10.0
01,32,6,3.5
01,32,7,8.5
01,33,1,16.5
01,33,2,14.0
01,33,3,12.0
01,33,4,10.5
01,33,5,12.5
01,33,6,5.0
01,33,7,8.0
01,34,1,16.0
01,34,2,17.0
01,34,3,20.0
01,34,4,13.0
01,34,5,10.0
01,34,6,6.0
01,34,7,7.0
01,35,1,16.0
01,35,2,21.0
01,35,3,14.5
01,35,4,11.5
01,35,5,8.5
01,35,6,6.0
01,35,7,7.5
01,36,1,20.5
01,36,2,16.5
01,36,3,19.0
01,36,4,10.5
01,36,5,13.5
01,36,6,4.0
01,36,7,8.0
01,37,1,17.5
01,37,2,16.0
01,37,3,15.5
01,37,4,12.0
01,37,5,11.0
01,37,6,4.0
01,37,7,8.5
01,38,1,16.0
01,38,2,19.5
01,38,3,16.0
01,38,4,11.5
01,38,5,12.5
01,38,6,4.5
01,38,7,7.0
01,39,1,16.5
01,39,2,21.0
01,39,3,20.5
01,39,4,13.5
01,39,5,13.0
01,39,6,4.0
01,39,7,8.5
01,40,1,17.5
01,40,2,23.0
01,40,3,21.0
01,40,4,13.5
01,40,5,17.5
01,40,6,6.5
01,40,7,5.5
01,41,1,20.5
01,41,2,19.0
01,41,3,14.0
01,41,4,13.5
01,41,5,11.0
01,41,6,6.0
01,41,7,8.0
01,42,1,22.5
01,42,2,17.5
01,42,3,18.0
01,42,4,11.5
01,42,5,12.0
01,42,6,4.0
01,42,7,7.0
01,43,1,21.0
01,43,2,19.0
01,43,3,19.5
01,43,4,14.5
01,43,5,12.5
01,43,6,8.0
01,43,7,8.0
01,44,1,17.0
01,44,2,18.5
01,44,3,17.0
01,44,4,9.0
01,44,5,9.0
01,44,6,4.5
01,44,7,7.0
01,45,1,19.0
01,45,2,19.5
01,45,3,21.0
01,45,4,14.5
01,45,5,13.0
01,45,6,5.5
01,45,7,7.5
01,46,1,17.5
