APR_MDC_key,intake_date,hospitalizations
17,2016-05-12,50.76362905693247
17,2016-05-13,51.03367400588551
17,2016-05-14,49.45879944831549
17,2016-05-15,47.93556012214121
17,2016-05-16,46.69177126567756
17,2016-05-17,48.60351647008158
17,2016-05-18,49.829630684177275
17,2016-05-19,50.1630854158436
17,2016-05-20,50.58396786122577
17,2016-05-21,48.958263996923286
17,2016-05-22,47.418648783909404
17,2016-05-23,48.8147586598468
17,2016-05-24,49.640504277556744
17,2016-05-25,50.37360249796472
17,2016-05-26,50.45971389147407
17,2016-05-27,51.100379009786394
17,2016-05-28,49.52331740290815
17,2016-05-29,47.89960207822263
17,2016-05-30,48.394697092051395
17,2016-05-31,49.496510302148074
17,2016-06-01,50.103182095520275
17,2016-06-02,50.72274989566716
17,2016-06-03,50.862987604005944
17,2016-06-04,49.26092243666148
17,2016-06-05,47.7441708813611
17,2016-06-06,49.12960790164435
17,2016-06-07,49.7483092819183
17,2016-06-08,50.445086026773446
17,2016-06-09,50.79114877999399
17,2016-06-10,50.76520947573189
17,2016-06-11,49.264710804396415
17,2016-06-12,47.81340881080965
17,2016-06-13,48.803133112094585
17,2016-06-14,49.596473010058695
17,2016-06-15,50.03593291136825
17,2016-06-16,50.100328553618475
17,2016-06-17,50.1626128633359
17,2016-06-18,48.61629768748882
17,2016-06-19,47.022320714128526
17,2016-06-20,47.93962167432104
17,2016-06-21,49.05635538991707
17,2016-06-22,49.93975357385422
17,2016-06-23,50.63025345667867
17,2016-06-24,50.609589408918715
17,2016-06-25,49.048619264364
17,2016-06-26,47.50604158356517
17,2016-06-27,48.83371235131713
17,2016-06-28,49.789984077503455
17,2016-06-29,50.583755091355805
17,2016-06-30,51.22035328508185
17,2016-07-01,51.868866292128345
17,2016-07-02,50.33218215140282
17,2016-07-03,48.87866798250436
17,2016-07-04,49.89903952406159
17,2016-07-05,51.04989068720712
17,2016-07-06,51.31055000893803
17,2016-07-07,51.56266312339908
17,2016-07-08,51.77372334886141
17,2016-07-09,50.141797993161035
17,2016-07-10,48.59616527207378
17,2016-07-11,47.199569689382834
17,2016-07-12,49.09466576514078
17,2016-07-13,50.23910295316896
17,2016-07-14,50.559132364540474
17,2016-07-15,51.09817720504735
17,2016-07-16,49.58676155898022
17,2016-07-17,48.092113639013654
17,2016-07-18,49.4333558147837
17,2016-07-19,50.5666884110203
17,2016-07-20,51.794010102462266
17,2016-07-21,50.292567148283176
17,2016-07-22,50.70920429096242
17,2016-07-23,49.144968084701354
17,2016-07-24,47.59923142618655
17,2016-07-25,49.48122383844273
17,2016-07-26,50.61298699128068
17,2016-07-27,51.01911856533705
17,2016-07-28,51.051278612375185
17,2016-07-29,51.246318657871086
17,2016-07-30,49.59889837400645
17,2016-07-31,48.00549186994066
17,2016-08-01,49.3495741037131
17,2016-08-02,50.25614544457497
17,2016-08-03,50.870698052949564
17,2016-08-04,51.3339538544922
17,2016-08-05,51.42136520352525
17,2016-08-06,49.735418803409665
17,2016-08-07,48.23589687542901
17,2016-08-08,49.70357238771003
17,2016-08-09,50.63132411270315
17,2016-08-10,51.62701840408993
