APR_MDC_key,week_number,day_number,hospitalizations
20,49,3,0.7333988406490881
20,49,4,0.7464037752515715
20,49,5,0.7221889569466168
20,49,6,0.7113504712419038
20,49,7,0.7010406921569328
20,50,1,0.6790387071736678
20,50,2,0.6703051117017814
20,50,3,0.7107780330821825
20,50,4,0.7126912997611003
20,50,5,0.7023161144069003
20,50,6,0.7412275234602224
20,50,7,0.7660456930475287
20,51,1,0.7530678543622833
20,51,2,0.7529182029299768
20,51,3,0.7283856076650999
20,51,4,0.7050497243643632
20,51,5,0.7072424207368333
20,51,6,0.7337184002130854
20,51,7,0.758902868495374
20,52,1,0.7584685822273071
20,52,2,0.7580554806552433
20,52,3,0.7454674084281583
20,52,4,0.7334933885048335
20,52,5,0.6977132232119146
20,52,6,0.6758735537869431
20,52,7,0.7038797218948973
20,53,1,2.4150321319297983
20,53,2,2.2972256864698077
20,53,3,2.1851658968859144
20,53,4,2.0785724385012356
20,53,5,1.9771786610133701
20,53,6,1.880730921451742
20,53,7,1.8377684374784862
21,1,1,1.4766750417837378
21,1,2,1.4826908934040433
21,1,3,1.5371937766526265
21,1,4,1.6103173340155197
21,1,5,1.6537164884537872
21,1,6,1.5852425134072607
21,1,7,1.5810843420215408
21,2,1,1.589324130215612
21,2,2,1.5971619775221675
21,2,3,1.6046174908137694
21,2,4,1.5995141985789512
21,2,5,1.6068549693799778
21,2,6,1.5650571659955885
21,2,7,1.5496885237519014
21,3,1,1.6204354250322965
21,3,2,1.675536136006331
21,3,3,1.7157538854694367
21,3,4,1.7662049154465378
21,3,5,1.7776095537174383
21,3,6,1.7274822584141485
21,3,7,1.7041904409305313
21,4,1,1.6820348096656272
21,4,2,1.7097404287063285
21,4,3,1.6995091882816296
21,4,4,1.701972154706916
21,4,5,1.70431497642853
21,4,6,1.694348392212504
21,4,7,1.6360874950314062
21,5,1,1.6172539586884107
21,5,2,1.6969001070450738
21,5,3,1.699490345725802
21,5,4,1.6897591093489335
21,5,5,1.7292830552343514
21,5,6,1.7302936379058467
21,5,7,1.7190598019104395
21,6,1,1.7449593237684669
21,6,2,1.757400332365127
21,6,3,1.7448442185912185
21,6,4,1.7816810859770127
21,6,5,1.7923307891000853
21,6,6,1.7658756286561785
21,6,7,1.740710963843682
21,7,1,1.7289689656074048
21,7,2,1.7056046258216777
21,7,3,1.744355619684035
21,7,4,1.720240711406765
21,7,5,1.7216923840210692
21,7,6,1.6986829994346755
21,7,7,1.6767960238524962
21,8,1,1.7413425592743257
21,8,2,1.766155117358505
21,8,3,1.8263426726093097
21,8,4,1.8592040056527581
21,8,5,1.8172916151331113
21,8,6,1.765228609516862
21,8,7,1.7279003846623808
21,9,1,1.72897841467885
21,9,2,1.7056136139628086
21,9,3,1.7321690474280373
21,9,4,1.8184047036510602
21,9,5,1.8394581327412525
21,9,6,1.7985089555343619
21,9,7,1.759557299166832
21,10,1,1.807871577256255
21,10,2,1.8538290612925354
21,10,3,1.8243739851319238
21,10,4,1.9183069614669521
21,10,5,1.8857066218831984
21,10,6,1.8912819086206032
21,10,7,1.8478047423464274
21,11,1,1.879619145158797
21,11,2,1.9464669917364168
21,11,3,1.924688114090738
21,11,4,1.903971620720458
21,11,5,1.8598754440999477
21,11,6,1.8545156663389746
21,11,7,1.8250270972492686
21,12,1,1.8457574827493042
21,12,2,1.8410863860298259
21,12,3,1.8122529037844686
21,12,4,1.8458015426242507
21,12,5,1.8411282966425797
21,12,6,1.7879025260746488
21,12,7,1.7616633784612512
21,13,1,1.7854846770728976
21,13,2,1.8569244489230003
21,13,3,1.8882939879999272
21,13,4,1.8571576959023695
21,13,5,1.8763207351266442
21,13,6,1.8213782602424176
21,13,7,1.7691159060842505
21,14,1,1.8047687887142874
21,14,2,1.8264873843867613
21,14,3,1.8227562924654557
21,14,4,1.8192072050281163
21,14,5,1.8402214877096719
21,14,6,1.835820439528712
21,14,7,1.819438954673653
21,15,1,1.791661444689572
21,15,2,1.7896291790949588
21,15,3,1.7876960484073998
21,15,4,1.8346377045826485
21,15,5,1.8305090360664218
21,15,6,1.7899964001607427
21,15,7,1.8124356001529016
21,16,1,1.7849997172186136
21,16,2,1.7954875358908764
21,16,3,1.805463753652297
21,16,4,1.8027582046936486
21,16,5,1.8367699995866413
21,16,6,1.795951950826317
21,16,7,1.732734782493326
21,17,1,1.7457721101765782
21,17,2,1.7581734706557697
21,17,3,1.7577747647701223
21,17,4,1.7817857518545064
21,17,5,1.7924303493250182
21,17,6,1.778165454235993
21,17,7,1.7645964076878957
21,18,1,1.7760795097519009
21,18,2,1.81139270439815
21,18,3,1.8083979383299473
21,18,4,1.8055492584114132
21,18,5,1.839424904342564
21,18,6,1.7740871041307313
21,18,7,1.7363267575877688
21,19,1,1.7979693547786093
21,19,2,1.8931903618625798
21,19,3,1.9593761978692834
21,19,4,1.9613578467537087
21,19,5,2.012023317643772
21,19,6,1.974851448490417
21,19,7,1.9272977192957623
21,20,1,1.918649050061823
21,20,2,1.9348125110344168
21,20,3,1.962382632447372
21,20,4,2.025193235742622
21,20,5,2.0117691754624945
21,20,6,1.9624145815374945
21,20,7,1.9154675287795677
21,21,1,1.931786185912272
21,21,2,1.922918567087283
21,21,3,1.9022883930830252
21,21,4,1.931445056835073
21,21,5,1.9225940784528743
21,21,6,1.9019797331624901
21,21,7,1.8945660876423687
21,22,1,1.8875140833671311
21,22,2,1.9417816890565396
21,22,3,2.0055972164196354
21,22,4,2.0784949131796533
21,22,5,2.0868610149757676
21,22,6,2.0216482825379254
21,22,7,2.008397146804368
21,23,1,2.0445728957407403
21,23,2,2.054593730094851
21,23,3,2.1251013530170533
21,23,4,2.1921695796991485
21,23,5,2.170600331908946
21,23,6,2.1378881205963145
21,23,7,2.1433569927623477
21,24,1,2.221729822383697
21,24,2,2.198718611535712
21,24,3,2.1768298987778723
21,24,4,2.192594293959439
21,24,5,2.146614084498003
21,24,6,2.0906816901322465
21,24,7,2.037477705247747
21,25,1,2.0356495245039543
21,25,2,2.0217154013574197
21,25,3,2.032851235437546
21,25,4,2.043443858099129
21,25,5,2.0169344016064885
21,25,6,1.9795229673817816
21,25,7,1.9073511153143774
21,26,1,1.8996754511527003
21,26,2,2.0265205510964712
21,26,3,2.037421987628351
21,26,4,2.035596524817212
21,26,5,2.058250352874909
21,26,6,2.018823506393206
21,26,7,1.9325394329106103
21,27,1,1.9358301922808245
21,27,2,2.024326280462248
21,27,3,2.0475298765372605
21,27,4,2.118382077681784
21,27,5,2.051631732429014
21,27,6,2.0247228674324766
21,27,7,1.9747363860943068
21,28,1,1.939383391650682
21,28,2,1.8691695676677218
21,28,3,1.7901856863180765
21,28,4,1.8979815064976828
21,28,5,1.9395433842295033
21,28,6,1.9059071215841616
21,28,7,1.8739116522385926
21,29,1,1.8678671813976857
21,29,2,1.898702928646579
21,29,3,1.8548637613955263
21,29,4,1.8375533340103787
21,29,5,1.8698678055220674
21,29,6,1.8274352296429424
21,29,7,1.7992676574652378
21,30,1,1.8822302107596167
21,30,2,1.8757799565762205
21,30,3,1.8574492269871365
21,30,4,1.852207801280447
21,30,5,1.92039278658384
21,30,6,1.8633004555309696
21,30,7,1.8089931162367758
21,31,1,1.7817251593471768
21,31,2,1.8777385662082904
21,31,3,1.8837025385883739
21,31,4,1.8771804635352825
21,31,5,1.9075619043384395
21,31,6,1.8632905919316862
21,31,7,1.833373977691116
21,32,1,1.8536971982915493
21,32,2,1.7998583105700103
21,32,3,1.8584018076153759
21,32,4,1.8531139145609672
21,32,5,1.8480839675092127
21,32,6,1.7823237739721778
21,32,7,1.731966516705242
21,33,1,1.7084559549147427
21,33,2,1.7104824936993892
21,33,3,1.6758248110799068
21,33,4,1.679443112978448
21,33,5,1.6828849123453529
21,33,6,1.6617685751577747
21,33,7,1.6050969373452002
21,34,1,1.6365556233283614
21,34,2,1.7030651051172219
21,34,3,1.7053546121846745
21,34,4,1.6587519481756658
21,34,5,1.6388128287524626
21,34,6,1.5954561053986838
21,34,7,1.5664094661109431
21,35,1,1.6241455897152874
21,35,2,1.6790653170462493
21,35,3,1.7069157893854565
21,35,4,1.7334077020983611
21,35,5,1.734217082483807
21,35,6,1.6740113711431333
21,35,7,1.6899132554776146
21,36,1,1.7294296820396824
21,36,2,1.7548233560865274
21,36,3,1.8399539240823066
21,36,4,1.8599561716880477
21,36,5,1.8667875779471674
21,36,6,1.8488955009741348
21,36,7,1.8074859643412502
21,37,1,1.9144378685197259
21,37,2,1.9186116310309589
21,37,3,1.9591671612245707
21,37,4,1.9977443728721527
21,37,5,1.9246836717564377
21,37,6,1.8917722731341726
21,37,7,1.8604663085910422
21,38,1,1.855077708171967
21,38,2,1.9719031858221152
21,38,3,1.9488835182210364
21,38,4,2.0489379807468397
21,38,5,2.034355640222604
21,38,6,1.9473139016751597
21,38,7,1.901103467447103
21,39,1,1.9303179324496835
21,39,2,1.9093268137936013
21,39,3,1.9625303838524502
21,39,4,1.9887484139084284
21,39,5,1.9649070278641145
21,39,6,1.9300335143097673
21,39,7,1.9212513916605105
21,40,1,1.9128976652380465
21,40,2,1.892756315714239
21,40,3,1.8370121051915933
21,40,4,1.8937432220115156
21,40,5,1.9720972111816857
21,40,6,1.912482713075262
21,40,7,1.867971361217932
21,41,1,1.8500215387194963
21,41,2,1.8451424392697648
21,41,3,1.9014769544273373
21,41,4,1.906282956650394
21,41,5,1.87426915388696
21,41,6,1.8438170000388157
21,41,7,1.8270454390613124
21,42,1,1.8598724908144193
21,42,2,1.903293344921033
21,42,3,1.932400986632202
21,42,4,1.9356984994794117
21,42,5,1.9754205238950504
21,42,6,1.903448791022121
21,42,7,1.871573240240554
21,43,1,1.9022282041312588
21,43,2,2.016753657588271
21,43,3,2.0647168938034772
21,43,4,2.1103404599594056
21,43,5,2.12934824240041
21,43,6,2.0864532061857557
21,43,7,2.0456506107620602
21,44,1,2.1043993614565943
21,44,2,2.0749164657757846
21,44,3,2.046871760128185
21,44,4,2.0323902108536394
21,44,5,1.9942248347144376
21,44,6,1.9213358183869036
21,44,7,1.9129779735875425
21,45,1,2.0391741699979065
21,45,2,2.073848600729716
21,45,3,2.0702462299624127
21,45,4,2.079014706549612
21,45,5,2.0263798428154844
21,45,6,1.976312533409851
21,45,7,1.97746801958498
21,46,1,1.954176896678396
21,46,2,1.9929975358648155
21,46,3,1.9567537536275073
21,46,4,1.9466682046700678
21,46,5,1.949269755661772
21,46,6,1.902963913922173
21,46,7,1.8711120156820669
21,47,1,1.8408138685756246
21,47,2,1.8485790457182771
21,47,3,1.9047459215368978
21,47,4,1.9093924619497322
21,47,5,1.950397707708282
21,47,6,1.8796466000151948
21,47,7,1.8489321317217706
21,48,1,1.905081783832904
21,48,2,1.8853216968166648
21,48,3,1.8909157603865836
21,48,4,1.884041820855531
21,48,5,1.9384788052040416
21,48,6,1.8683091073892104
21,48,7,1.8503428094677854
21,49,1,1.8332529163230156
21,49,2,1.8901674082096978
21,49,3,1.883329973662883
21,49,4,1.962191926167133
21,49,5,2.03720695415898
21,49,6,1.9744163710292737
21,49,7,1.9634692309790651
21,50,1,1.928665853858135
21,50,2,1.9321455683040796
21,50,3,1.8988701747282706
21,50,4,1.9038033369366476
21,50,5,1.9084958570860797
21,50,6,1.8153984982038316
21,50,7,1.7756229617060835
21,51,1,1.798763305037494
21,51,2,1.796384607230787
21,51,3,1.8307073093170902
21,51,4,1.8389654893504028
21,51,5,1.8712110752357491
21,51,6,1.8287129740047368
21,51,7,1.7882879508825544
21,52,1,1.8108104898638935
21,52,2,1.807844124504679
21,52,3,1.8416078257483532
21,52,4,1.7761635415655066
21,52,5,1.750497027342799
21,52,6,1.7382776601553453
21,52,7,1.7022641157575236
21,53,1,0.6071760834574259
21,53,2,0.5775577379229173
21,53,3,0.5493841897315555
21,53,4,0.5225849609641624
21,53,5,0.5458734994537155
21,53,6,0.5192455238706074
21,53,7,0.5426969617305779
22,1,1,0.6382647856399453
22,1,2,0.626642113169704
22,1,3,0.6448546930150844
22,1,4,0.6231064861878022
22,1,5,0.6292964136908362
22,1,6,0.6351843935107955
22,1,7,0.6041997889492932
22,2,1,0.6235071163176203
22,2,2,0.617482378936273
22,2,3,0.5995564092320645
22,2,4,0.5946999990256223
22,2,5,0.6022756088292506
22,2,6,0.6338719205936775
22,2,7,0.6273415830037419
22,3,1,0.621129798466974
22,3,2,0.603025905858829
22,3,3,0.6101953738657153
22,3,4,0.6048199897747049
22,3,5,0.5753165756393532
22,3,6,0.5472523524374335
22,3,7,0.557142481586827
22,4,1,0.5543550434606404
22,4,2,0.5395084559747554
22,4,3,0.5253860922686697
22,4,4,0.5119526243531247
22,4,5,0.5235646914578505
22,4,6,0.5102200723623456
22,4,7,0.5219166541983287
22,5,1,0.4964573052130443
22,5,2,0.5088252415441153
22,5,3,0.5327849858590366
22,5,4,0.5555759621585958
22,5,5,0.5528649396142742
22,5,6,0.5380910401208949
22,5,7,0.548428062554022
22,6,1,0.533870596087972
22,6,2,0.5078281279861196
22,6,3,0.4830560241819186
22,6,4,0.4960776815388983
22,6,5,0.5084641360979765
22,6,6,0.4836610075078312
22,6,7,0.46006778762940037
22,7,1,0.44982057847674667
22,7,2,0.42787811123397845
22,7,3,0.4313962521493942
22,7,4,0.44693789838600917
22,7,5,0.4373311716354721
22,7,6,0.4281930657020344
22,7,7,0.4438909649360816
22,8,1,0.4710182349391996
22,8,2,0.47243197957631183
22,8,3,0.4737767610603942
22,8,4,0.4628608214964725
22,8,5,0.4524773667893275
22,8,6,0.4304053001166773
22,8,7,0.4459952854768394
22,9,1,0.4486296617950424
22,9,2,0.4267452880489427
22,9,3,0.44251381058314065
22,9,4,0.43312289299371914
22,9,5,0.43638519089646455
22,9,6,0.42729323036492967
22,9,7,0.4308399020544453
22,10,1,0.42201844341764305
22,10,2,0.4258224217875141
22,10,3,0.44163596218812323
22,10,4,0.4322878664716294
22,10,5,0.4233957754242328
22,10,6,0.43932768881817275
22,10,7,0.45448243570509117
22,11,1,0.45670280469508673
22,11,2,0.4344246191002044
22,11,3,0.4376234181684871
22,11,4,0.44066617825782917
22,11,5,0.41917026712330085
22,11,6,0.39872293701972517
22,11,7,0.40366328155534836
22,12,1,0.3961675117233801
22,12,2,0.42562275505394703
22,12,3,0.4170557913927788
22,12,4,0.4332969723004482
22,12,5,0.4365507785296947
22,12,6,0.4274507405526364
22,12,7,0.41879460686714187
22,13,1,0.42275584555654966
22,13,2,0.41432873113915697
22,13,3,0.4063126954738322
22,13,4,0.4230779298409624
22,13,5,0.4024399820438422
22,13,6,0.4193941292612158
22,13,7,0.4111310010045711
22,14,1,0.4032709521750798
22,14,2,0.3835991984104417
22,14,3,0.3892772862928592
22,14,4,0.40687351622979295
22,14,5,0.38702602763321764
22,14,6,0.38034183116330456
22,14,7,0.38617881500899703
22,15,1,0.3917310679353874
22,15,2,0.37262223535317335
22,15,3,0.3910309067993601
22,15,4,0.3963464723213425
22,15,5,0.4014027419642039
22,15,6,0.3940172423561939
22,15,7,0.39918713297296493
22,16,1,0.404104833803552
22,16,2,0.4209777687399642
22,16,3,0.4370276336794781
22,16,4,0.46448970032925974
22,16,5,0.46622191006929586
22,16,6,0.46786962177323266
22,16,7,0.4572418353452701
22,17,1,0.4593275994747691
22,17,2,0.4735067409638048
22,17,3,0.4747990950631314
22,17,4,0.45163816359663717
22,17,5,0.4905826434211915
22,17,6,0.552017636425036
22,17,7,0.5372850687945463
22,18,1,0.559856528853349
22,18,2,0.5325464542751368
22,18,3,0.5065685784568374
22,18,4,0.5306384038979672
22,18,5,0.5291438476102616
22,18,6,0.5033319526048828
22,18,7,0.4787791744290349
22,19,1,0.46761921470078927
22,19,2,0.4691987652031898
22,19,3,0.47070126446157073
22,19,4,0.484325593024421
22,19,5,0.48509019824274197
22,19,6,0.48581750564553505
22,19,7,0.4743142126872162
22,20,1,0.4633720559707666
22,20,2,0.4651587849478024
22,20,3,0.4790534783649828
22,20,4,0.4678801379569348
22,20,5,0.46944696049562085
22,20,6,0.48313247461778575
22,20,7,0.48395528073399136
22,21,1,0.4603477060640405
22,21,2,0.47447708625603857
22,21,3,0.4757221064386708
22,21,4,0.5012966378319065
22,21,5,0.5256236311083989
22,21,6,0.5365688198348184
22,21,7,0.5591752188672664
22,22,1,0.5562886228249607
22,22,2,0.5413477143944748
22,22,3,0.5637209966191347
22,22,4,0.5362224114182012
22,22,5,0.5588457084221914
22,22,6,0.5315849421576941
22,22,7,0.5178490913207334
22,23,1,0.5291735258904539
22,23,2,0.5399455490177487
22,23,3,0.5501921076022489
22,23,4,0.5355485901582366
22,23,5,0.5703998784432008
22,23,6,0.5791608599825568
22,23,7,0.5996895985199933
22,24,1,0.5948266912751154
22,24,2,0.6145912429202318
22,24,3,0.6090014261924156
22,24,4,0.6036842834513221
22,24,5,0.5986265135268674
22,24,6,0.6060105860377518
22,24,7,0.5886442159871297
22,25,1,0.5843201078901966
22,25,2,0.5558166879931138
22,25,3,0.528703678822718
22,25,4,0.5394986213191707
22,25,5,0.5375718593036014
22,25,6,0.5479342076302551
22,25,7,0.5334008316482913
22,26,1,0.5195764008361795
22,26,2,0.5308165764051465
22,26,3,0.5415084507268466
22,26,4,0.5394836482523663
22,26,5,0.5497527385815192
22,26,6,0.5595208976751036
22,26,7,0.5688125612031474
22,27,1,0.5654558509005548
22,27,2,0.5622628825639424
22,27,3,0.5592256687803354
22,27,4,0.5563366117666606
22,27,5,0.5413933624121893
22,27,6,0.5515692959530581
22,27,7,0.5490537205407138
22,28,1,0.5222706122216545
22,28,2,0.521184240893769
22,28,3,0.49576061938675575
22,28,4,0.4837722964898408
22,28,5,0.47236876983179976
22,28,6,0.4737166347180535
22,28,7,0.4506085061952215
22,29,1,0.44082272540521067
22,29,2,0.41931917782446865
22,29,3,0.4110597057354701
22,29,4,0.4275933786264229
22,29,5,0.41893028698610957
22,29,6,0.4472751510355677
22,29,7,0.44984709488749125
22,30,1,0.4400984561124916
22,30,2,0.4430204826435896
22,30,3,0.42140972739268273
22,30,4,0.48621900898328374
22,30,5,0.48689125244751386
22,30,6,0.463140459645196
22,30,7,0.464938486003967
22,31,1,0.4544536818086515
22,31,2,0.45667545342774163
22,31,3,0.4709839678946811
22,31,4,0.460204262143721
22,31,5,0.4499503956976858
22,31,6,0.4401967178587743
22,31,7,0.418723707231517
22,32,1,0.44707864834217476
22,32,2,0.46185529964255645
22,32,3,0.4393257728307244
22,32,4,0.4300903692780061
22,32,5,0.43350059516688383
22,32,6,0.43674446857337734
22,32,7,0.4764154701063834
22,33,1,0.46537081302802324
22,33,2,0.47925516361202214
22,33,3,0.46807198489924057
22,33,4,0.48182457100171666
22,33,5,0.4827111772943158
22,33,6,0.48355453449947117
22,33,7,0.47216163037754566
22,34,1,0.461324477676202
22,34,2,0.4388208446188262
22,34,3,0.45400031561302984
22,34,4,0.4440490807050771
22,34,5,0.4833637596950735
22,34,6,0.4963704055636065
22,34,7,0.4843523369995281
22,35,1,0.5217010034873562
22,35,2,0.5206424179513875
22,35,3,0.4952452268318076
22,35,4,0.5076722889375731
22,35,5,0.5194931528918378
22,35,6,0.5063471454336994
22,35,7,0.506037528583275
22,36,1,0.5179381369450665
22,36,2,0.529258227825795
22,36,3,0.5278309972001465
22,36,4,0.5752538753855052
22,36,5,0.5715829546349929
22,36,6,0.5924813470918224
22,36,7,0.5879700618678312
22,37,1,0.5714837173864735
22,37,2,0.5679967067822552
22,37,3,0.5646797942562916
22,37,4,0.5981100481950091
22,37,5,0.581129070234277
22,37,6,0.5771715546130927
22,37,7,0.5734070885344053
22,38,1,0.5942164988498002
22,38,2,0.5896205720766392
22,38,3,0.6218342027070471
22,38,4,0.6280861928188985
22,38,5,0.6218380858521229
22,38,6,0.6402850084934828
22,38,7,0.6334418373474593
22,39,1,0.6025422355256319
22,39,2,0.621930419158528
22,39,3,0.6403728377361608
22,39,4,0.6457205041880554
22,39,5,0.6630024308130285
22,39,6,0.655051092724588
22,39,7,0.6230973808843641
22,40,1,0.6292877525485414
22,40,2,0.6229810329120271
22,40,3,0.6047868361846112
22,40,4,0.624065527102435
22,40,5,0.6302086721218285
22,40,6,0.5994667856768612
22,40,7,0.6312001132048193
22,41,1,0.649190351585072
22,41,2,0.6541078954101904
22,41,3,0.6587855590487177
22,41,4,0.651039922021951
22,41,5,0.6558672428989291
22,41,6,0.6604590847087375
22,41,7,0.652631812283921
22,42,1,0.6329912360749491
22,42,2,0.6265038587054393
22,42,3,0.6081378168173691
22,42,4,0.6516432891677415
22,42,5,0.6320509335985833
22,42,6,0.6499996685449939
22,42,7,0.6304874895915795
22,43,1,0.660707612050527
22,43,2,0.6650633382919646
22,43,3,0.6692065900826005
22,43,4,0.6609526100785712
22,43,5,0.6896866290991288
22,43,6,0.6560433788991712
22,43,7,0.6484315067577482
22,44,1,0.6533860674037117
22,44,2,0.6459038202132867
22,44,3,0.6509816826419068
22,44,4,0.6314216005618138
22,44,5,0.6250107907783107
22,44,6,0.594522459520832
22,44,7,0.6021067297881085
22,45,1,0.6337112795545424
22,45,2,0.6027985342104183
22,45,3,0.5855888496147881
22,45,4,0.6058040276823595
22,45,5,0.6128379775515127
22,45,6,0.6439190518172926
22,45,7,0.6368986102652295
22,46,1,0.6546108731791208
22,46,2,0.6714591232679442
22,46,3,0.6996806294499958
22,46,4,0.6777449889890204
22,46,5,0.6934647456237023
22,46,6,0.696222562910351
22,46,7,0.6622604866708216
22,47,1,0.6909307068332206
22,47,2,0.6694218918657464
22,47,3,0.685547653238149
22,47,4,0.7374721579582395
22,47,5,0.738083272204179
22,47,6,0.7020792101454384
22,47,7,0.6800265657480999
22,48,1,0.6712447820530706
22,48,2,0.6506962560992623
22,48,3,0.6921257070212495
22,48,4,0.6949488432641154
22,48,5,0.7098293874951342
22,48,6,0.7117889295685423
22,48,7,0.6770675183700767
22,49,1,0.7294056882056829
22,49,2,0.7182151668297958
22,49,3,0.695375402594196
22,49,4,0.6858448951505767
22,49,5,0.676779290509085
22,49,6,0.6681559104842516
22,49,7,0.672148305094776
22,50,1,0.6759459487486893
22,50,2,0.642972975638997
22,50,3,0.6359986841444119
22,50,4,0.6415597239422455
22,50,5,0.6468494935060383
22,50,6,0.6152958596764754
22,50,7,0.6096716713995742
22,51,1,0.6043218337703267
22,51,2,0.6236232077327498
22,51,3,0.5932025634531034
22,51,4,0.5764609749919763
22,51,5,0.5727311713338312
22,51,6,0.5569881873663272
22,51,7,0.5664033977387015
22,52,1,0.5631642076051062
22,52,2,0.5600830267463206
22,52,3,0.5571521473928415
22,52,4,0.5421691158127029
22,52,5,0.5157218418706198
22,52,6,0.5027598008037601
22,52,7,0.5270154202767475
22,53,1,1.4063596016760234
22,53,2,1.3377566942771928
22,53,3,1.27250027016611
22,53,4,1.2104270862555677
22,53,5,1.151381862535784
22,53,6,1.0952168936315991
22,53,7,1.0417916793081063
23,1,1,14.611745944152489
23,1,2,14.77702662980359
23,1,3,14.96351313566683
23,1,4,15.565130829267233
23,1,5,16.061953715644442
23,1,6,15.473565729515444
23,1,7,14.987050328075664
23,2,1,15.987682019389048
23,2,2,16.829746311126172
23,2,3,17.460002588632214
23,2,4,18.218051242845277
